TIC_ID,Teff,Tmag,r_est,Obs,a_RV,a_EA,a_EM,Per_RV,Per_EA,Per_EM,Elat,Glat,Gaia_ID,RA,Dec,asep_RV,asep_EA,asep_EM,Ttime,TWOMASS,HZ_flag,JWST_flag,Earth_flag,S1_flag,S2_flag,S3_flag,S4_flag,S5_flag,S6_flag,
400472941,3469,11.67,54.8646207,114.345,0.128,0.157,0.354,24.01,32.74,110.86,74.1806,15.6347,2139104377262522880,295.7032,56.2882,2.33,2.86,6.45,0.234,19424877+5617176,0,0,0,0,0,0,0,0,0,
300810872,3794,11.02,54.85025433,340.254,0.204,0.253,0.544,44.27,61.11,192.63,-79.6169,-20.8389,5270620661191613952,116.746462,-70.050421,3.72,4.61,9.92,0.793,07465915-7003015,0,0,0,1,1,1,1,1,1,
305173815,3795,11.56,54.82098814,77.49,0.121,0.15,0.322,25.55,35.27,111.16,71.434,11.3113,2195121604182537472,312.1271,61.7894,2.21,2.74,5.87,0.157,20483050+6147219,0,0,0,0,0,0,0,0,0,
280035517,4209,10.0,54.7824287,340.659,0.302,0.379,0.773,74.71,105.09,306.06,79.2143,19.5486,2249198167313213440,297.838966,67.702192,5.51,6.92,14.11,2.105,19512135+6742078,0,0,1,0,0,0,0,0,0,
321602098,3573,10.93,54.70080553,81.297,0.133,0.164,0.363,26.37,36.08,119.29,72.1875,32.0383,1366925946711444480,264.2469,48.9961,2.43,3.0,6.64,0.248,17365925+4859460,0,0,0,0,0,0,0,0,0,
441762018,3473,11.77,54.6163584,340.443,0.107,0.132,0.297,20.6,28.09,95.04,79.4351,31.4104,1657132115194798720,260.6022,76.7357,1.96,2.42,5.44,0.137,17222454+7644085,1,0,0,0,0,0,0,0,0,
237281689,3841,11.32,54.57109617,180.657,0.2,0.248,0.531,41.95,58.01,181.13,76.2538,22.8407,2291232767423288192,299.5163,77.2058,3.66,4.54,9.73,0.678,19580391+7712209,0,0,0,0,0,0,0,0,0,
219857965,4230,10.19,54.54442247,329.157,0.317,0.399,0.811,80.26,113.01,327.9,84.8877,34.3792,1636757237019046528,257.467574,68.333845,5.81,7.32,14.87,1.674,17095222+6820016,0,0,1,0,0,0,0,0,0,
229784568,3576,11.45,54.53990349,330.453,0.133,0.164,0.364,26.47,36.22,119.67,84.5694,24.7248,2256080457267986176,283.6107,67.953,2.44,3.01,6.67,0.248,18542655+6757109,1,0,0,0,0,0,0,0,0,
193623873,3527,11.4,54.38357583,67.554,0.122,0.15,0.335,24.02,32.82,109.65,68.9768,30.2272,1350417402392185472,266.2909,45.6308,2.24,2.76,6.16,0.203,17450982+4537506,0,0,0,0,0,0,0,0,0,
198314832,3747,11.43,54.2243986,103.923,0.136,0.169,0.366,27.84,38.35,122.07,73.735,46.076,1639627580842865920,233.8636,61.6449,2.51,3.12,6.75,0.235,15352726+6138417,0,0,0,0,0,0,0,0,0,
219773961,3950,10.52,54.11510461,323.541,0.197,0.246,0.518,42.05,58.43,178.54,85.931,32.7986,1440457131145252224,263.1672,63.6752,3.64,4.55,9.57,0.592,17324014+6340308,0,1,1,0,0,0,0,0,0,
198314835,3394,11.93,54.05565692,103.923,0.112,0.138,0.314,20.81,28.31,97.59,73.7201,46.0909,1639627546483126912,233.8398,61.6349,2.07,2.55,5.81,0.169,15352155+6138056,0,0,0,0,0,0,0,0,0,
237255586,3623,11.82,54.02603039,262.521,0.145,0.178,0.393,28.97,39.72,129.85,77.5814,22.105,2288319783164961408,298.8404,74.8832,2.68,3.29,7.27,0.305,19552166+7452592,1,0,0,0,0,0,0,0,0,
387444984,3498,11.8,53.98659581,114.345,0.094,0.115,0.259,18.74,25.57,86.01,74.1805,15.0261,2246134343802838912,311.2074,67.4699,1.74,2.13,4.8,0.094,20444978+6728116,0,0,0,0,0,0,0,0,0,
377253948,4102,10.64,53.98239343,339.957,0.268,0.336,0.694,63.39,88.71,263.37,79.9328,21.4686,2155617182187265152,286.369959,59.65691,4.96,6.22,12.86,1.041,19052879+5939249,0,0,1,0,0,0,0,0,0,
259234246,4571,9.81,53.73877865,338.337,0.357,0.454,0.888,91.68,131.38,360.16,81.1707,21.2667,2260870823271838720,292.582083,67.308987,6.64,8.45,16.52,1.893,19301970+6718323,0,0,1,0,0,0,0,0,0,
199522744,3606,11.21,53.40450838,141.939,0.14,0.173,0.383,28.06,38.44,126.15,75.199,44.2794,1626660627899671168,239.75,60.161,2.62,3.24,7.17,0.282,15590002+6009396,0,0,0,0,0,0,0,0,0,
