gaiadr3.hipparcos2_best_neighbour.original_ext_source_id,gaiadr3.hipparcos2_best_neighbour.SOURCE_ID
2504,4924783812843268864
2506,2318378476858402048
2513,2346771818457246592
2538,2346450761061927296
2540,4900915958024013952
2542,4925871023684898688
2547,2779072715025797376
2574,5004831764037631360
2601,2318914523136657792
2602,391723007628333440
2604,382248107910955904
2609,2749473552767582848
2619,2364255462088232064
2621,2794613899566711936
2622,2348085356895450880
2626,2779224928665896704
2632,2528318711670361216
2634,2373429477872608384
2639,2749980668146188672
2640,2751142611418504192
2659,2555236508664411264
2664,539350624257646848
2673,4994460517529494144
2676,2319333230908895104
2692,5004041833651832704
2698,2530271581760224896
2709,2363079122085750016
2711,4925088171405735680
2712,390900439790625664
2717,430690219417639680
2725,2807673417645121408
2735,2542499319292688256
2736,2554032474712538880
2742,381634580422627584
2744,2346415989006762752
2747,4974732255271798912
2748,4706989010559559424
2759,2553610056089124352
2761,4905259643133405056
2765,2554005811555572480
2766,2318853465881634944
2767,2775703536519483904
2797,564753466026738304
2805,2427118012181982080
2806,4690022618432105344
2824,2858001810060014848
2829,2796640299496861440
2832,2778942732134817408
2835,4975533661809906944
2845,2317267901394765312
2847,2557282626788399616
2855,5003751837460598016
2861,2364295491183509120
2864,4980801250217838336
2873,2749727196356347392
2874,2346516491241690240
2878,4907878718486368640
2881,4902079894161774592
2883,4907830271255275008
2885,2778967363771446144
2894,391307396531931008
2916,2523657946303506176
2939,5004458789077553408
2943,5000415438145608192
2975,2795144413927003648
2979,4979672326655304192
2980,2526704040188995968
2984,4993323828664593280
2990,2806805147056522752
3006,573522758453403648
3008,416135846558362112
3010,4685793931095792768
3011,5007222548993285376
3012,5007384726958175104
3016,4979673288727975168
3020,4979372744096959488
3022,387612109746951168
3024,2350262630437120256
3027,5000624414074126976
3028,2377094321926764160
3033,2555421535855572992
3051,2350305197856816128
3055,2543397517212277120
3057,2750438546019540864
3062,361854224504512896
3093,2802397960855105920
3099,2347362256201579904
3101,2809227646050577024
3115,2529927709498735488
3119,2775451336039913344
3122,2377315770440527744
3125,2343528121716418048
3142,5006886991788263808
3143,4980466929965023104
3144,2370073390427554944
3148,4976211819965600000
3156,4921477169061474816
3161,2557397285235335808
3169,2523208078545561088
3174,2782215222336316288
3181,2343229535589955712
3182,2317907026888532608
3183,2530375313811012480
